courseId,title,provider,level,hours,tag
1,Intensivo de Cybersecurity 1,Neo4j University,Advanced,20,cybersecurity
2,Especialización de Cybersecurity 2,edX,Intermediate,8,cybersecurity
3,Ruta de Cypher 3,Coursera,Advanced,20,cypher
4,Especialización de Cloud 4,Coursera,Beginner,10,cloud
5,Fundamentos de Graph Data Modeling 5,Udemy,Advanced,6,graph_data_modeling
6,Intensivo de Neo4j 6,Coursera,Advanced,12,neo4j
7,Práctico de Kubernetes 7,Neo4j University,Intermediate,24,kubernetes
8,Ruta de Kubernetes 8,Neo4j University,Beginner,24,kubernetes
9,Ruta de APIs 9,Google,Beginner,20,apis
10,Ruta de Python 10,AWS Training,Advanced,12,python
11,Workshop de Python 11,Neo4j University,Advanced,8,python
12,Práctico de Kubernetes 12,Neo4j University,Advanced,30,kubernetes
13,Fundamentos de Neo4j 13,edX,Intermediate,20,neo4j
14,Fundamentos de Power BI 14,Coursera,Advanced,4,power_bi
15,Fundamentos de Neo4j 15,Pluralsight,Beginner,8,neo4j
16,Hands-on de Kubernetes 16,edX,Advanced,20,kubernetes
17,Bootcamp de Graph Algorithms 17,UNIPRO Academy,Intermediate,4,graph_algorithms
18,Especialización de SQL 18,Udemy,Beginner,30,sql
19,Práctico de Data Warehousing 19,Microsoft,Advanced,4,data_warehousing
20,Hands-on de Data Warehousing 20,Microsoft,Advanced,8,data_warehousing
21,Masterclass de Data Warehousing 21,AWS Training,Beginner,40,data_warehousing
22,Ruta de Cloud 22,UNIPRO Academy,Beginner,24,cloud
23,Workshop de Power BI 23,LinkedIn Learning,Beginner,24,power_bi
24,Masterclass de Cloud 24,edX,Beginner,8,cloud
25,Workshop de APIs 25,edX,Advanced,40,apis
26,Masterclass de Data Warehousing 26,edX,Beginner,24,data_warehousing
27,Bootcamp de Power BI 27,Microsoft,Intermediate,6,power_bi
28,Workshop de Data Warehousing 28,LinkedIn Learning,Beginner,20,data_warehousing
29,Bootcamp de Docker 29,edX,Intermediate,30,docker
30,Bootcamp de ETL 30,UNIPRO Academy,Beginner,10,etl
31,Workshop de Graph Data Modeling 31,Coursera,Beginner,10,graph_data_modeling
32,Ruta de Cybersecurity 32,Coursera,Beginner,30,cybersecurity
33,Workshop de APIs 33,edX,Intermediate,8,apis
34,Ruta de Docker 34,Neo4j University,Advanced,24,docker
35,Fundamentos de SQL 35,LinkedIn Learning,Intermediate,24,sql
36,Bootcamp de Power BI 36,UNIPRO Academy,Intermediate,16,power_bi
37,Ruta de APIs 37,Coursera,Beginner,30,apis
38,Bootcamp de Kubernetes 38,Udemy,Beginner,6,kubernetes
39,Especialización de Python 39,Google,Advanced,24,python
40,Bootcamp de Power BI 40,Google,Advanced,6,power_bi
41,Ruta de SQL 41,LinkedIn Learning,Advanced,30,sql
42,Práctico de Machine Learning 42,Microsoft,Advanced,12,machine_learning
43,Lab de SQL 43,Coursera,Advanced,4,sql
44,Especialización de Cybersecurity 44,LinkedIn Learning,Intermediate,16,cybersecurity
45,Masterclass de Cybersecurity 45,Microsoft,Intermediate,8,cybersecurity
46,Hands-on de Python 46,AWS Training,Beginner,8,python
47,Lab de SQL 47,edX,Intermediate,40,sql
48,Ruta de Kubernetes 48,AWS Training,Beginner,16,kubernetes
49,Práctico de SQL 49,AWS Training,Intermediate,20,sql
50,Fundamentos de Machine Learning 50,Google,Advanced,12,machine_learning
51,Especialización de Data Warehousing 51,AWS Training,Advanced,4,data_warehousing
52,Intensivo de Docker 52,Google,Beginner,40,docker
53,Masterclass de Power BI 53,AWS Training,Intermediate,6,power_bi
54,Lab de Cloud 54,AWS Training,Advanced,20,cloud
55,Fundamentos de Docker 55,Microsoft,Beginner,30,docker
56,Ruta de Cloud 56,Google,Intermediate,24,cloud
57,Workshop de ETL 57,Pluralsight,Advanced,40,etl
58,Ruta de APIs 58,Udemy,Intermediate,12,apis
59,Workshop de Cypher 59,edX,Advanced,30,cypher
60,Intensivo de APIs 60,Neo4j University,Intermediate,24,apis
61,Intensivo de Graph Algorithms 61,Google,Advanced,16,graph_algorithms
62,Masterclass de Graph Algorithms 62,AWS Training,Advanced,30,graph_algorithms
63,Masterclass de Cypher 63,Udemy,Advanced,30,cypher
64,Intensivo de Neo4j 64,Udemy,Intermediate,4,neo4j
65,Ruta de Cloud 65,Coursera,Advanced,30,cloud
66,Masterclass de Cloud 66,UNIPRO Academy,Intermediate,8,cloud
67,Fundamentos de Cypher 67,Coursera,Intermediate,8,cypher
68,Fundamentos de Docker 68,LinkedIn Learning,Intermediate,12,docker
69,Ruta de Kubernetes 69,UNIPRO Academy,Beginner,30,kubernetes
70,Intensivo de Graph Data Modeling 70,Microsoft,Intermediate,16,graph_data_modeling
71,Bootcamp de Kubernetes 71,edX,Beginner,30,kubernetes
72,Workshop de Data Warehousing 72,AWS Training,Advanced,10,data_warehousing
73,Fundamentos de APIs 73,Pluralsight,Intermediate,12,apis
74,Workshop de Machine Learning 74,Microsoft,Beginner,40,machine_learning
75,Lab de Python 75,Udemy,Advanced,6,python
76,Hands-on de Kubernetes 76,LinkedIn Learning,Beginner,4,kubernetes
77,Lab de Graph Data Modeling 77,Pluralsight,Beginner,4,graph_data_modeling
78,Práctico de Neo4j 78,UNIPRO Academy,Advanced,16,neo4j
79,Masterclass de Cybersecurity 79,LinkedIn Learning,Beginner,40,cybersecurity
80,Ruta de Data Warehousing 80,Pluralsight,Advanced,10,data_warehousing
81,Hands-on de Neo4j 81,LinkedIn Learning,Intermediate,6,neo4j
82,Intensivo de Kubernetes 82,AWS Training,Beginner,24,kubernetes
83,Intensivo de Kubernetes 83,LinkedIn Learning,Intermediate,40,kubernetes
84,Workshop de Neo4j 84,Google,Advanced,4,neo4j
85,Bootcamp de Machine Learning 85,Microsoft,Intermediate,8,machine_learning
86,Fundamentos de Power BI 86,UNIPRO Academy,Beginner,10,power_bi
87,Hands-on de Power BI 87,Neo4j University,Beginner,10,power_bi
88,Intensivo de ETL 88,Udemy,Intermediate,8,etl
89,Ruta de Python 89,UNIPRO Academy,Intermediate,24,python
90,Hands-on de ETL 90,LinkedIn Learning,Advanced,20,etl
91,Hands-on de APIs 91,Coursera,Intermediate,4,apis
92,Especialización de Power BI 92,Coursera,Beginner,16,power_bi
93,Hands-on de Data Warehousing 93,AWS Training,Advanced,20,data_warehousing
94,Lab de APIs 94,Coursera,Intermediate,20,apis
95,Especialización de Cloud 95,Coursera,Beginner,6,cloud
96,Fundamentos de Python 96,Pluralsight,Beginner,10,python
97,Intensivo de Data Warehousing 97,Google,Beginner,12,data_warehousing
98,Intensivo de Docker 98,Google,Intermediate,12,docker
99,Intensivo de Kubernetes 99,Pluralsight,Intermediate,40,kubernetes
100,Ruta de Graph Algorithms 100,LinkedIn Learning,Intermediate,8,graph_algorithms
101,Práctico de Cypher 101,Microsoft,Beginner,16,cypher
102,Lab de Neo4j 102,Neo4j University,Beginner,12,neo4j
103,Hands-on de SQL 103,edX,Beginner,8,sql
104,Ruta de Cybersecurity 104,UNIPRO Academy,Beginner,10,cybersecurity
105,Especialización de Power BI 105,Coursera,Beginner,6,power_bi
106,Lab de Data Warehousing 106,edX,Advanced,8,data_warehousing
107,Lab de Machine Learning 107,Google,Beginner,20,machine_learning
108,Intensivo de Cloud 108,Microsoft,Advanced,30,cloud
109,Práctico de Cybersecurity 109,AWS Training,Intermediate,30,cybersecurity
110,Hands-on de SQL 110,Microsoft,Intermediate,8,sql
111,Ruta de Graph Data Modeling 111,Udemy,Beginner,16,graph_data_modeling
112,Hands-on de Graph Data Modeling 112,Neo4j University,Intermediate,6,graph_data_modeling
113,Hands-on de Kubernetes 113,Google,Intermediate,40,kubernetes
114,Lab de Cypher 114,Neo4j University,Beginner,16,cypher
115,Fundamentos de Data Warehousing 115,Microsoft,Advanced,4,data_warehousing
116,Intensivo de SQL 116,AWS Training,Beginner,12,sql
117,Lab de Docker 117,Udemy,Intermediate,24,docker
