personId1,personId2,sinceYear,strength
445,499,2015,normal
109,550,2017,normal
1071,1190,2015,strong
705,840,2011,strong
370,1264,2018,weak
345,1207,2022,strong
1143,1187,2020,strong
1013,1077,2019,normal
83,160,2022,weak
827,843,2022,strong
974,1499,2026,strong
504,1321,2020,strong
91,923,2017,weak
784,1375,2012,strong
204,571,2012,strong
1136,1305,2017,weak
1168,1257,2011,normal
953,1332,2019,weak
712,977,2013,normal
612,1039,2020,weak
1159,1437,2019,strong
450,977,2021,normal
210,995,2018,normal
416,1100,2010,normal
185,413,2019,normal
92,222,2015,normal
258,1157,2010,normal
387,813,2019,weak
337,1221,2022,weak
5,482,2012,normal
772,1149,2022,normal
807,1106,2013,normal
207,293,2011,weak
360,1060,2011,weak
167,931,2017,normal
805,1447,2010,normal
239,770,2024,normal
276,1103,2014,weak
1360,1440,2014,strong
122,599,2011,normal
23,593,2022,weak
778,940,2021,strong
308,762,2026,weak
459,1160,2020,normal
133,1404,2010,weak
899,937,2013,strong
269,770,2025,weak
320,1230,2026,strong
485,1334,2026,weak
806,1389,2024,weak
97,434,2018,weak
358,475,2011,normal
597,757,2020,weak
201,757,2010,strong
984,1166,2024,normal
165,834,2014,weak
293,1248,2022,strong
31,1248,2023,normal
461,1061,2024,weak
941,1469,2018,strong
328,717,2020,strong
479,886,2023,weak
949,1000,2012,strong
420,656,2020,strong
428,776,2011,weak
703,715,2026,normal
12,309,2020,normal
652,935,2012,strong
500,1295,2019,strong
571,946,2022,normal
189,615,2012,normal
304,602,2025,strong
479,1128,2015,weak
207,669,2014,normal
393,1061,2012,strong
546,1303,2020,weak
172,1092,2022,weak
791,1070,2025,weak
1264,1290,2026,normal
672,1415,2025,weak
460,1236,2023,strong
615,844,2017,strong
109,255,2025,weak
515,677,2010,weak
432,908,2023,normal
146,1076,2020,normal
113,1128,2024,weak
95,1488,2017,weak
585,1123,2014,strong
370,1198,2020,strong
86,1439,2012,strong
567,1483,2023,weak
1271,1306,2018,strong
761,1204,2012,weak
341,618,2010,weak
810,1362,2019,strong
1286,1291,2017,normal
252,280,2014,normal
652,1419,2022,strong
913,965,2013,strong
1078,1298,2020,weak
176,672,2017,weak
336,395,2020,strong
728,1148,2012,strong
800,1024,2025,strong
510,1191,2022,weak
224,1093,2019,weak
900,1376,2018,normal
96,1322,2022,weak
820,858,2010,weak
27,175,2011,normal
279,1150,2012,strong
1005,1025,2021,strong
303,1278,2026,weak
640,1277,2022,weak
103,1109,2026,strong
1099,1333,2016,strong
6,1176,2014,strong
771,979,2023,normal
783,804,2016,normal
306,650,2022,weak
97,476,2019,normal
1006,1492,2010,strong
206,419,2012,strong
444,476,2012,strong
306,1000,2025,strong
302,1295,2021,weak
47,1005,2017,normal
503,1056,2019,strong
594,1174,2016,normal
509,578,2012,weak
371,873,2020,weak
104,529,2019,weak
331,656,2022,weak
174,184,2026,strong
192,992,2012,weak
440,828,2019,weak
871,1051,2020,strong
771,1113,2015,weak
1096,1398,2014,weak
58,1177,2017,weak
161,366,2024,weak
184,1289,2010,weak
140,428,2022,weak
1000,1286,2017,strong
637,1234,2015,strong
77,1311,2024,strong
502,780,2021,normal
92,882,2017,normal
312,656,2024,normal
344,608,2023,strong
266,1183,2019,strong
371,1236,2013,weak
58,1419,2019,normal
792,1414,2014,weak
778,1479,2025,weak
900,947,2020,strong
440,962,2018,strong
752,1234,2010,weak
394,1489,2025,normal
722,1291,2018,strong
216,665,2019,strong
419,1024,2012,weak
64,567,2017,weak
246,544,2026,normal
1246,1476,2020,normal
72,391,2014,strong
578,788,2014,normal
657,1081,2020,normal
69,93,2018,weak
337,847,2015,strong
249,963,2020,weak
581,1473,2018,weak
1104,1248,2017,normal
97,865,2016,weak
353,791,2021,normal
413,842,2026,normal
284,957,2013,weak
1158,1484,2016,strong
44,1204,2016,strong
926,1363,2016,weak
351,1132,2021,normal
202,743,2013,strong
1268,1477,2017,weak
29,34,2012,weak
289,1156,2017,normal
578,1030,2014,weak
932,1033,2023,normal
350,614,2011,strong
434,1022,2015,strong
1379,1429,2013,weak
78,1094,2021,strong
969,1302,2015,strong
303,1441,2014,weak
1053,1417,2013,weak
221,1035,2013,strong
1,766,2010,strong
403,746,2016,strong
788,1082,2011,strong
609,622,2025,strong
638,1323,2016,weak
247,1438,2016,weak
223,815,2012,weak
556,961,2026,strong
508,1213,2012,strong
704,859,2023,weak
420,1100,2015,weak
412,687,2026,weak
269,638,2023,strong
601,1148,2026,strong
353,1046,2013,strong
383,1154,2013,normal
360,1170,2017,weak
795,1098,2020,strong
36,292,2026,normal
934,1442,2015,strong
1332,1488,2017,normal
587,1334,2026,strong
119,1000,2010,normal
29,289,2026,normal
461,700,2025,strong
39,711,2023,strong
1003,1168,2011,normal
1383,1389,2023,strong
51,950,2025,strong
431,942,2011,weak
158,1049,2018,normal
595,821,2023,normal
344,421,2018,weak
593,1391,2016,strong
113,525,2021,strong
128,1291,2026,strong
320,1003,2022,normal
209,1401,2026,normal
240,714,2010,strong
980,1278,2015,strong
171,880,2025,weak
240,485,2014,strong
520,1293,2011,normal
12,69,2021,normal
528,1117,2014,weak
294,950,2018,strong
82,1067,2011,weak
422,1401,2019,normal
182,1419,2022,strong
960,1161,2016,normal
1304,1459,2016,strong
816,887,2013,normal
197,909,2022,normal
879,943,2026,normal
392,596,2023,strong
1241,1295,2026,strong
344,784,2013,normal
485,531,2011,weak
471,596,2018,strong
767,1412,2018,normal
22,504,2018,normal
261,1015,2017,normal
99,724,2024,strong
725,1415,2016,strong
448,612,2015,normal
814,935,2016,weak
1206,1459,2018,normal
494,1253,2024,weak
318,768,2026,strong
801,1410,2012,weak
111,963,2025,normal
21,252,2022,normal
293,445,2012,strong
726,1236,2019,normal
224,611,2023,normal
151,1264,2021,strong
209,488,2018,strong
632,1308,2011,strong
181,389,2021,normal
232,1374,2013,weak
694,1031,2025,weak
308,1490,2022,weak
321,1200,2013,normal
438,553,2010,weak
439,1192,2015,strong
444,1270,2016,strong
98,633,2020,strong
299,623,2023,weak
925,1314,2022,normal
124,1265,2026,normal
275,1434,2021,weak
182,977,2015,strong
1284,1368,2021,weak
516,1496,2019,normal
227,346,2016,normal
562,565,2010,strong
1122,1427,2018,strong
19,582,2026,normal
243,1458,2022,strong
513,1090,2012,strong
58,924,2013,normal
507,750,2019,normal
139,354,2024,strong
99,1450,2020,normal
223,991,2022,strong
226,508,2014,normal
360,996,2016,normal
189,1114,2010,strong
90,583,2011,strong
904,1096,2025,weak
766,866,2011,weak
461,755,2023,normal
927,1494,2011,normal
1008,1153,2024,normal
408,1279,2023,normal
396,932,2018,weak
211,886,2016,normal
228,301,2010,strong
