personId,courseId,enrolledDate,status,score
1,179,2025-03-17,in_progress,
1,50,2024-10-09,in_progress,
1,120,2024-05-12,enrolled,
2,74,2023-06-10,enrolled,
2,230,2023-03-10,enrolled,
2,906,2023-04-17,in_progress,
2,264,2025-09-07,enrolled,
2,885,2023-05-28,completed,77
2,643,2025-06-06,in_progress,
3,6,2023-01-28,enrolled,
3,1000,2024-08-24,enrolled,
3,51,2024-08-22,completed,76
4,258,2024-03-08,enrolled,
4,639,2025-06-21,in_progress,
4,474,2025-01-09,in_progress,
4,395,2024-07-31,completed,95
4,542,2023-10-18,completed,85
5,324,2025-05-14,enrolled,
5,455,2024-01-30,in_progress,
6,617,2023-07-02,completed,67
6,340,2023-12-16,in_progress,
6,757,2023-08-07,completed,84
6,82,2024-12-23,enrolled,
7,62,2023-08-29,in_progress,
7,571,2024-11-06,in_progress,
7,692,2024-09-23,enrolled,
8,23,2023-05-25,completed,76
8,450,2023-05-26,in_progress,
9,493,2025-03-04,completed,66
9,973,2023-03-23,in_progress,
9,824,2024-04-13,completed,70
9,496,2024-05-21,enrolled,
10,484,2023-11-29,in_progress,
10,60,2025-02-08,enrolled,
11,943,2025-02-16,in_progress,
11,300,2024-08-02,in_progress,
11,285,2025-10-31,in_progress,
12,258,2024-04-11,enrolled,
12,700,2023-05-18,completed,75
12,316,2025-06-28,in_progress,
12,87,2024-07-10,completed,77
13,956,2023-11-18,completed,89
13,730,2024-10-26,completed,65
13,610,2024-06-29,completed,79
13,837,2025-12-21,completed,96
14,21,2025-02-26,enrolled,
14,911,2024-06-06,completed,75
14,6,2023-11-13,in_progress,
14,589,2024-08-15,in_progress,
14,677,2025-10-27,in_progress,
14,317,2023-02-07,in_progress,
15,250,2025-03-24,in_progress,
15,490,2025-09-04,in_progress,
16,586,2025-08-20,completed,88
17,330,2023-10-31,in_progress,
17,255,2023-07-24,completed,89
17,281,2023-09-09,in_progress,
18,586,2025-07-26,in_progress,
18,458,2025-03-30,completed,99
18,314,2023-06-17,in_progress,
18,453,2024-01-24,completed,70
18,446,2025-02-18,completed,68
19,674,2024-03-07,enrolled,
19,665,2025-06-10,completed,91
20,868,2025-05-11,completed,88
20,16,2024-10-14,in_progress,
20,544,2023-02-23,in_progress,
20,813,2025-06-12,completed,73
20,364,2025-05-01,in_progress,
21,877,2025-09-04,completed,67
21,285,2024-07-10,enrolled,
21,804,2025-07-11,completed,89
21,457,2023-04-24,enrolled,
22,975,2023-02-07,in_progress,
22,768,2025-01-07,in_progress,
23,633,2023-03-15,in_progress,
23,289,2024-10-18,in_progress,
24,380,2024-03-19,in_progress,
24,399,2024-07-01,completed,95
25,345,2024-11-20,completed,90
26,854,2025-04-19,enrolled,
26,963,2024-11-23,in_progress,
27,4,2024-11-30,completed,60
27,726,2025-07-09,enrolled,
27,927,2025-08-20,enrolled,
27,342,2023-10-20,in_progress,
27,28,2024-10-31,in_progress,
27,579,2025-10-16,enrolled,
28,596,2023-11-19,completed,87
28,280,2025-04-05,enrolled,
28,862,2025-04-19,completed,99
28,961,2023-03-05,completed,71
29,446,2024-06-25,in_progress,
29,698,2024-08-07,enrolled,
29,897,2025-01-08,enrolled,
29,314,2025-09-14,in_progress,
30,106,2024-12-27,enrolled,
